CHAMPION NAME        WINS      LOSSES    WIN%      MINION DEATHS  
Heimerdinger         33        13        0.72      1                    
Poppy                9         4         0.69      0                    
Ashe                 54        27        0.67      3                    
Anivia               13        8         0.62      0                    
Sivir                80        50        0.62      9                    
Yorick               8         5         0.62      1                    
Quinn                25        16        0.61      1                    
Rammus               25        16        0.61      2                    
Malzahar             42        27        0.61      2                    
Akali                21        14        0.60      0                    
Mordekaiser          15        10        0.60      1                    
Janna                77        52        0.60      1                    
Karthus              17        12        0.59      1                    
Katarina             58        41        0.59      7                    
Maokai               45        32        0.58      0                    
Syndra               14        10        0.58      1                    
Zilean               7         5         0.58      1                    
Kennen               18        13        0.58      2                    
Sejuani              73        54        0.57      7                    
Volibear             75        56        0.57      1                    
Nunu                 25        19        0.57      0                    
Vladimir             51        39        0.57      1                    
Dr.Mundo             17        13        0.57      1                    
Sion                 64        50        0.56      25                   
MasterYi             46        37        0.55      10                   
Orianna              26        21        0.55      0                    
Aatrox               16        13        0.55      1                    
Braum                41        34        0.55      3                    
Vi                   60        50        0.55      7                    
Irelia               44        37        0.54      1                    
Nasus                87        74        0.54      3                    
Amumu                86        74        0.54      9                    
Rumble               22        19        0.54      2                    
Zed                  77        68        0.53      4                    
Varus                18        16        0.53      1                    
Azir                 9         8         0.53      0                    
Fiora                37        33        0.53      3                    
Lissandra            37        33        0.53      2                    
Zac                  28        25        0.53      1                    
Annie                105       94        0.53      5                    
Blitzcrank           122       110       0.53      7                    
Shyvana              21        19        0.52      2                    
Cho'Gath             75        68        0.52      1                    
Ziggs                22        20        0.52      0                    
Ahri                 78        71        0.52      1                    
Vel'Koz              25        23        0.52      1                    
XinZhao              55        51        0.52      3                    
Jinx                 177       165       0.52      9                    
Skarner              15        14        0.52      2                    
Jayce                16        15        0.52      4                    
Taric                18        17        0.51      1                    
Xerath               26        25        0.51      2                    
Sona                 54        52        0.51      0                    
Gangplank            27        26        0.51      0                    
Ezreal               83        81        0.51      4                    
Wukong               47        46        0.51      7                    
Nami                 53        52        0.50      1                    
Udyr                 55        54        0.50      4                    
Malphite             59        58        0.50      4                    
Pantheon             50        50        0.50      3                    
Draven               44        44        0.50      3                    
Darius               30        30        0.50      1                    
Twitch               18        18        0.50      2                    
Thresh               131       132       0.50      5                    
Nautilus             62        63        0.50      4                    
Graves               134       137       0.49      5                    
Kalista              41        42        0.49      0                    
Fiddlesticks         30        31        0.49      2                    
Rengar               23        24        0.49      8                    
Warwick              43        45        0.49      1                    
Leona                136       143       0.49      10                   
Teemo                35        37        0.49      4                    
Zyra                 16        17        0.48      1                    
Corki                35        38        0.48      1                    
Riven                66        72        0.48      5                    
Talon                20        22        0.48      1                    
Galio                10        11        0.48      0                    
Nidalee              58        64        0.48      6                    
Hecarim              56        63        0.47      4                    
LeBlanc              55        62        0.47      6                    
Gragas               22        25        0.47      0                    
Rek'Sai              21        24        0.47      2                    
Urgot                14        16        0.47      0                    
Caitlyn              94        108       0.47      5                    
Bard                 19        22        0.46      0                    
Lux                  55        64        0.46      5                    
Garen                36        42        0.46      2                    
Olaf                 12        14        0.46      0                    
Tryndamere           34        40        0.46      2                    
Cassiopeia           17        20        0.46      0                    
Vayne                91        109       0.46      2                    
Morgana              105       126       0.45      6                    
Lulu                 24        29        0.45      0                    
Trundle              14        17        0.45      1                    
Brand                22        27        0.45      0                    
Shen                 17        21        0.45      1                    
LeeSin               62        77        0.45      13                   
Kog'Maw              8         10        0.44      0                    
Viktor               31        40        0.44      0                    
Lucian               71        92        0.44      6                    
Kayle                17        23        0.43      0                    
Alistar              25        34        0.42      1                    
Yasuo                41        56        0.42      5                    
JarvanIV             54        74        0.42      11                   
Renekton             21        29        0.42      3                    
Ryze                 13        18        0.42      1                    
Diana                46        64        0.42      4                    
TwistedFate          22        31        0.42      5                    
Soraka               17        24        0.41      3                    
Karma                12        17        0.41      1                    
Swain                26        37        0.41      0                    
Fizz                 46        66        0.41      4                    
Singed               11        16        0.41      2                    
Jax                  24        35        0.41      6                    
Gnar                 17        26        0.40      0                    
Shaco                20        31        0.39      1                    
Veigar               12        19        0.39      0                    
MissFortune          17        27        0.39      0                    
Tristana             33        53        0.38      2                    
Evelynn              6         10        0.38      1                    
Nocturne             8         15        0.35      2                    
Kassadin             6         13        0.32      0                    
Kha'Zix              8         18        0.31      5                    
Elise                3         7         0.30      0                    
